Frame,Iris Dilation,Pupil Dilation,Ratio,Processed Iris Dilation,Processed Pupil Dilation,Processed Ratio
131,151.3607177734375,47.0,0.31052,151.3607177734375,47.0,0.31052
132,151.35626220703125,46.0,0.30392,151.35626220703125,46.0,0.30392
133,150.0,46.5,0.31000,150.0,46.5,0.31000
134,151.1331329345703,46.5,0.30768,151.1331329345703,46.5,0.30768
135,151.06494140625,47.0,0.31112,151.06494140625,47.0,0.31112
136,150.98300170898438,47.0,0.31129,150.98300170898438,47.0,0.31129
137,151.04354858398438,48.0,0.31779,151.04354858398438,48.0,0.31779
138,150.98056030273438,49.0,0.32455,150.98056030273438,49.0,0.32455
139,151.04104614257812,52.0,0.34428,151.04104614257812,52.0,0.34428
140,148.0,50.0,0.33784,148.0,50.0,0.33784
141,150.7161102294922,50.0,0.33175,150.7161102294922,50.0,0.33175
142,150.654541015625,49.5,0.32857,150.654541015625,49.5,0.32857
143,150.5828094482422,49.5,0.32872,150.5828094482422,49.5,0.32872
144,150.4969482421875,49.5,0.32891,150.4969482421875,49.5,0.32891
145,150.39419555664062,46.34137931034483,0.30813,150.39419555664062,46.34137931034483,0.30813
146,150.5689239501953,49.0,0.32543,150.5689239501953,49.0,0.32543
147,150.5395050048828,50.0,0.33214,150.5395050048828,50.0,0.33214
148,150.51649475097656,49.0,0.32555,150.51649475097656,49.0,0.32555
149,150.50320434570312,48.5,0.32225,150.50320434570312,48.5,0.32225
150,150.5044708251953,48.5,0.32225,150.5044708251953,48.5,0.32225
151,150.5265350341797,50.0,0.33217,150.5265350341797,50.0,0.33217
152,150.51803588867188,48.5,0.32222,150.51803588867188,48.5,0.32222
153,150.51376342773438,48.5,0.32223,150.51376342773438,48.5,0.32223
154,150.51321411132812,47.5,0.31559,150.51321411132812,47.5,0.31559
155,150.51519775390625,48.0,0.31890,150.51519775390625,48.0,0.31890
156,150.517333984375,48.0,0.31890,150.517333984375,48.0,0.31890
157,150.5155029296875,47.5,0.31558,150.5155029296875,47.5,0.31558
158,150.51499938964844,48.0,0.31891,150.51499938964844,48.0,0.31891
159,154.0,48.0,0.31169,154.0,48.0,0.31169
160,150.86392211914062,48.0,0.31817,150.86392211914062,48.0,0.31817
161,150.93386840820312,48.5,0.32133,150.93386840820312,48.5,0.32133
162,151.0173797607422,49.0,0.32447,151.0173797607422,49.0,0.32447
163,151.11758422851562,48.5,0.32094,151.11758422851562,48.5,0.32094
164,148.0,49.5,0.33446,148.0,49.5,0.33446
165,150.98654174804688,49.0,0.32453,150.98654174804688,49.0,0.32453
166,150.69747924804688,49.0,0.32515,150.69747924804688,49.0,0.32515
167,150.65719604492188,48.5,0.32192,150.65719604492188,48.5,0.32192
168,150.593505859375,48.5,0.32206,150.593505859375,48.5,0.32206
169,150.4987030029297,49.5,0.32891,150.4987030029297,49.5,0.32891
170,150.68667602539062,50.5,0.33513,150.68667602539062,50.5,0.33513
171,150.626708984375,49.5,0.32863,150.626708984375,49.5,0.32863
172,150.612548828125,48.5,0.32202,150.612548828125,48.5,0.32202
173,150.6036376953125,48.5,0.32204,150.6036376953125,48.5,0.32204
174,150.60565185546875,47.0,0.31207,150.60565185546875,47.0,0.31207
175,150.62704467773438,47.0,0.31203,150.62704467773438,47.0,0.31203
176,150.61512756347656,47.5,0.31537,150.61512756347656,47.5,0.31537
177,150.61279296875,47.5,0.31538,150.61279296875,47.5,0.31538
178,150.61285400390625,47.0,0.31206,150.61285400390625,47.0,0.31206
179,150.6146697998047,46.5,0.30873,150.6146697998047,46.5,0.30873
180,150.61648559570312,46.5,0.30873,150.61648559570312,46.5,0.30873
181,150.6143798828125,47.0,0.31206,150.6143798828125,47.0,0.31206
182,150.61422729492188,47.0,0.31206,150.61422729492188,47.0,0.31206
183,150.61453247070312,47.0,0.31205,150.61453247070312,47.0,0.31205
184,150.61483764648438,47.0,0.31205,150.61483764648438,47.0,0.31205
185,150.61489868164062,47.5,0.31537,150.61489868164062,47.5,0.31537
186,150.6145782470703,49.0,0.32533,150.6145782470703,49.0,0.32533
187,150.6146240234375,49.0,0.32533,150.6146240234375,49.0,0.32533
188,150.6147003173828,49.0,0.32533,150.6147003173828,49.0,0.32533
